For top 1, sensitivity:0.0, F1 score:0, Specificity:1.0
 
For top 2, sensitivity:0.5121951219512195, F1 score:0.5833333333333334, Specificity:0.8611111111111112
 
For top 3, sensitivity:0.4878048780487805, F1 score:0.45977011494252873, Specificity:0.6388888888888888
 
For top 4, sensitivity:0.4634146341463415, F1 score:0.4367816091954023, Specificity:0.625
 
For top 5, sensitivity:0.5365853658536586, F1 score:0.5057471264367817, Specificity:0.6666666666666666
 
For top 6, sensitivity:0.5121951219512195, F1 score:0.5, Specificity:0.6944444444444444
 
For top 7, sensitivity:0.5853658536585366, F1 score:0.5274725274725274, Specificity:0.6388888888888888
 
For top 8, sensitivity:0.6097560975609756, F1 score:0.5617977528089888, Specificity:0.6805555555555556
 
For top 9, sensitivity:0.5121951219512195, F1 score:0.5060240963855421, Specificity:0.7083333333333334
 
For top 10, sensitivity:0.3902439024390244, F1 score:0.42105263157894735, Specificity:0.7361111111111112
 
For top 11, sensitivity:0.4146341463414634, F1 score:0.4473684210526316, Specificity:0.75
 
For top 12, sensitivity:0.4878048780487805, F1 score:0.5, Specificity:0.7361111111111112
 
For top 13, sensitivity:0.4146341463414634, F1 score:0.4473684210526316, Specificity:0.75
 
For top 14, sensitivity:0.4146341463414634, F1 score:0.4594594594594595, Specificity:0.7777777777777778
 
For top 15, sensitivity:0.4146341463414634, F1 score:0.4473684210526316, Specificity:0.75
 
For top 16, sensitivity:0.43902439024390244, F1 score:0.48648648648648646, Specificity:0.7916666666666666
 
For top 17, sensitivity:0.43902439024390244, F1 score:0.48648648648648646, Specificity:0.7916666666666666
 
For top 18, sensitivity:0.5121951219512195, F1 score:0.525, Specificity:0.75
 
For top 19, sensitivity:0.4634146341463415, F1 score:0.48717948717948717, Specificity:0.75
 
For top 20, sensitivity:0.4634146341463415, F1 score:0.48717948717948717, Specificity:0.75
 
For top 21, sensitivity:0.4146341463414634, F1 score:0.4594594594594595, Specificity:0.7777777777777778
 
For top 22, sensitivity:0.3902439024390244, F1 score:0.4050632911392405, Specificity:0.6944444444444444
 
For top 23, sensitivity:0.43902439024390244, F1 score:0.4337349397590361, Specificity:0.6666666666666666
 
For top 24, sensitivity:0.36585365853658536, F1 score:0.4, Specificity:0.7361111111111112
 
For top 25, sensitivity:0.4146341463414634, F1 score:0.4415584415584415, Specificity:0.7361111111111112
 
For top 26, sensitivity:0.4146341463414634, F1 score:0.4358974358974359, Specificity:0.7222222222222222
 
For top 27, sensitivity:0.43902439024390244, F1 score:0.42352941176470593, Specificity:0.6388888888888888
 
For top 28, sensitivity:0.4146341463414634, F1 score:0.41975308641975306, Specificity:0.6805555555555556
 
For top 29, sensitivity:0.36585365853658536, F1 score:0.3614457831325302, Specificity:0.625
 
For top 30, sensitivity:0.4146341463414634, F1 score:0.40476190476190477, Specificity:0.6388888888888888
 
For top 31, sensitivity:0.43902439024390244, F1 score:0.4285714285714286, Specificity:0.6527777777777778
 
For top 32, sensitivity:0.36585365853658536, F1 score:0.37974683544303794, Specificity:0.6805555555555556
 
For top 33, sensitivity:0.34146341463414637, F1 score:0.35000000000000003, Specificity:0.6527777777777778
 
For top 34, sensitivity:0.3902439024390244, F1 score:0.380952380952381, Specificity:0.625
 
For top 35, sensitivity:0.36585365853658536, F1 score:0.3703703703703704, Specificity:0.6527777777777778
 
For top 36, sensitivity:0.34146341463414637, F1 score:0.35443037974683544, Specificity:0.6666666666666666
 
For top 37, sensitivity:0.3902439024390244, F1 score:0.3902439024390244, Specificity:0.6527777777777778
 
For top 38, sensitivity:0.36585365853658536, F1 score:0.36585365853658536, Specificity:0.6388888888888888
 
For top 39, sensitivity:0.4146341463414634, F1 score:0.42500000000000004, Specificity:0.6944444444444444
 
For top 40, sensitivity:0.3902439024390244, F1 score:0.4, Specificity:0.6805555555555556
 
For top 41, sensitivity:0.36585365853658536, F1 score:0.3846153846153847, Specificity:0.6944444444444444
 
For top 42, sensitivity:0.36585365853658536, F1 score:0.37974683544303794, Specificity:0.6805555555555556
 
For top 43, sensitivity:0.3902439024390244, F1 score:0.4050632911392405, Specificity:0.6944444444444444
 
