For top 1 features, C:0.001, gamma:0.001, max_iter:1, sensitivity:0.512195121951, F1 score:0.538461538462
 
For top 1 features, C:0.001, gamma:0.001, max_iter:10, sensitivity:0.634146341463, F1 score:0.547368421053
 
For top 1 features, C:0.001, gamma:0.001, max_iter:20, sensitivity:0.682926829268, F1 score:0.543689320388
 
For top 1 features, C:0.001, gamma:0.001, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:0.001, gamma:0.01, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:0.001, gamma:0.1, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:0.001, gamma:1, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:0.01, gamma:0.001, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:0.01, gamma:0.01, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:0.01, gamma:0.1, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:0.01, gamma:1, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:0.1, gamma:0.001, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:0.1, gamma:0.01, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:0.1, gamma:0.1, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:0.1, gamma:1, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:1, gamma:0.001, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:1, gamma:0.01, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:1, gamma:0.1, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:1, gamma:1, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:10, gamma:0.001, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:10, gamma:0.01, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:10, gamma:0.1, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 1 features, C:10, gamma:1, max_iter:50, sensitivity:0.707317073171, F1 score:0.547169811321
 
For top 2 features, C:0.001, gamma:0.001, max_iter:10, sensitivity:0.707317073171, F1 score:0.552380952381
 
For top 2 features, C:0.001, gamma:0.001, max_iter:20, sensitivity:0.707317073171, F1 score:0.591836734694
 
For top 2 features, C:0.001, gamma:0.001, max_iter:50, sensitivity:0.731707317073, F1 score:0.588235294118
 
For top 2 features, C:0.001, gamma:0.01, max_iter:50, sensitivity:0.731707317073, F1 score:0.588235294118
 
For top 2 features, C:0.001, gamma:0.1, max_iter:50, sensitivity:0.731707317073, F1 score:0.588235294118
 
For top 2 features, C:0.001, gamma:1, max_iter:50, sensitivity:0.731707317073, F1 score:0.588235294118
 
For top 2 features, C:0.01, gamma:0.001, max_iter:50, sensitivity:0.731707317073, F1 score:0.588235294118
 
For top 2 features, C:0.01, gamma:0.01, max_iter:50, sensitivity:0.731707317073, F1 score:0.588235294118
 
For top 2 features, C:0.01, gamma:0.1, max_iter:50, sensitivity:0.731707317073, F1 score:0.588235294118
 
For top 2 features, C:0.01, gamma:1, max_iter:50, sensitivity:0.731707317073, F1 score:0.588235294118
 
For top 2 features, C:0.1, gamma:0.001, max_iter:50, sensitivity:0.731707317073, F1 score:0.588235294118
 
For top 2 features, C:0.1, gamma:0.01, max_iter:50, sensitivity:0.731707317073, F1 score:0.588235294118
 
For top 2 features, C:0.1, gamma:0.1, max_iter:50, sensitivity:0.731707317073, F1 score:0.588235294118
 
