ACTIVITY DATE,RECORD ID,NAME,ADDRESS,SITE ADDRESS,SITE CITY,SITE STATE,SITE ZIP,PROGRAM ELEMENT CODE,PROGRAM ELEMENT CODE DESCRIPTION,SERVICE DESCRIPTION,ROW ID,VIOLATION CODE,VIOLATION CODE DESCRIPTION,POINTS,SCORE,GRADE,COUNT,RATING,REVIEW,PRICE,PHONE,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Apple Pay,Good For,Parking,Bike Parking,Good for Kids,Good for Groups,Attire,Ambience,Noise Level,Alcohol,Outdoor Seating,Wi-Fi,Has TV,Caters,Good for Working,Gender Neutral Restrooms
6/12/2015,PR0018666,333,"333 S BOYLSTON ST  LOS ANGELES, CA 90017",333 S BOYLSTON ST,LOS ANGELES,CA,90017,1636,RESTAURANT (61-150) SEATS LOW RISK,ROUTINE INSPECTION,IVKBVYZFP,16F036,"# 36. Equipment, utensils and linens: storage and use",1,95,A,1,1.5,103,$$$,12139897979,,,,Yes,No,,"Valet, Private Lot",No,No,Yes,,,Very Loud,Full Bar,No,,No,,,
5/1/2015,PR0005093,1642,"1642 W TEMPLE ST  LOS ANGELES, CA 90026",1642 W TEMPLE ST,LOS ANGELES,CA,90026,1630,RESTAURANT (0-30) SEATS LOW RISK,ROUTINE INSPECTION,IVLHHE3W1,16F043,# 43. Premises; personal/cleaning items; vermin-proofing,1,96,A,1,4.5,166,$$,12139896836,No,,,Yes,,,Street,Yes,,Yes,,Hipster,Average,Beer & Wine Only,No,,No,,,
5/27/2015,PR0045100,#1 CAFE,"2080 CENTURY PARK E STE 108 LOS ANGELES, CA 90067",2080 CENTURY PARK E STE 108,LOS ANGELES,CA,90067,1632,RESTAURANT (0-30) SEATS HIGH RISK,ROUTINE INSPECTION,IV0156615,16F033,# 33. Nonfood-contact surfaces clean and in good repair,1,94,A,1,3.5,3,$$,13105535808,No,Yes,Yes,Yes,,,,,,No,,,,,,,,,,
12/18/2014,PR0009535,#2 MOON BBQ,"478 N WESTERN AVE  LOS ANGELES, CA 90004",478 N WESTERN AVE,LOS ANGELES,CA,90004,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IV4HBTXVM,16F042,"# 42. Toilet facilities: properly constructed, supplied, cleaned",1,90,A,1,3,587,$$,13234656707,No,No,No,Yes,No,"Lunch, Dinner, Late Night",Valet,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,No,,
12/18/2014,PR0146972,10 - E,"811 W 7TH ST LOS ANGELES, CA 90017",811 W 7TH ST,LOS ANGELES,CA,90017,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IVM0H2AVK,16F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",1,97,A,1,4,403,$$,12134881096,Yes,Yes,Yes,Yes,No,"Lunch, Dinner","Valet, Street",Yes,No,Yes,Casual,Classy,Average,Full Bar,No,Free,Yes,Yes,,
6/8/2015,PR0004349,161 STREET PIZZERIA,"3252 CAHUENGA BLVD W  LOS ANGELES, CA 90068",3252 CAHUENGA BLVD W,LOS ANGELES,CA,90068,1632,RESTAURANT (0-30) SEATS HIGH RISK,ROUTINE INSPECTION,IVHM7ROW2,16F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",1,93,A,1,3,19,$,13238516161,No,Yes,Yes,Yes,,,Private Lot,Yes,Yes,Yes,Casual,Casual,,No,No,Free,Yes,Yes,,
5/23/2016,PR0177873,1810 RESTAURANT,"105 W 9TH ST LOS ANGELES, CA 90015",105 W 9TH ST,LOS ANGELES,CA,90015,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVRXWNCZW,16F036,"# 36. Equipment, utensils and linens: storage and use",1,94,A,1,4,277,$$,12136231810,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Intimate,Average,Beer & Wine Only,No,Free,No,Yes,,
3/19/2015,PR0045528,1880 CAFE,"1880 CENTURY PARK E STE 103 LOS ANGELES, CA 90067",1880 CENTURY PARK E STE 103,LOS ANGELES,CA,90067,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IVYLSQ8N0,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,92,A,1,4.5,79,$,13105531880,No,Yes,Yes,Yes,No,,Private Lot,Yes,Yes,No,Casual,Casual,Average,No,No,Free,Yes,Yes,,
2/2/2015,PR0002865,1ST STREET BURGERS,"3737 E 1ST ST  LOS ANGELES, CA 90063",3737 E 1ST ST,LOS ANGELES,CA,90063,1632,RESTAURANT (0-30) SEATS HIGH RISK,ROUTINE INSPECTION,IVH9JEQVR,16F033,# 33. Nonfood-contact surfaces clean and in good repair,1,90,A,1,4,53,$,13232632496,No,No,Yes,Yes,No,,Private Lot,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,Yes,No,,
3/24/2016,PR0175629,23RD ST CAFE,"936 W 23RD ST LOS ANGELES, CA 90007",936 W 23RD ST,LOS ANGELES,CA,90007,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVOTDYHLU,16F036,"# 36. Equipment, utensils and linens: storage and use",1,94,A,1,4,455,$,12137419393,No,Yes,Yes,Yes,No,"Breakfast, Brunch, Lunch","Street, Private Lot",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,Yes,Yes,Yes
