name,address,city,state,zip_code,current_score,current_grade,rating,review_count,restaurants_price_range2,restaurants_reservations,restaurants_delivery,restaurants_takeout,business_accepts_creditcards,accepts_apple_pay,good_for,bike_parking,good_for_kids,restaurants_good_for_groups,restaurants_attire,ambience,noise_level,alcohol,outdoor_seating,wifi,has_tv,caters,good_for_working,gender_neutral_restrooms,location_name,category_name,violations,current_demerits,inspection_demerits,inspection_score,inspection_grade,business_id,neighborhood,accepts_insurance,ages_allowed,byob,byob_corkage,best_nights,business_accepts_bitcoin,business_parking,byappointmentonly,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_meal,hair_specializes_in,happy_hour,music,open_24_hours,restaurants_counter_service,restaurants_table_service,smoking,wheelchair_accessible,accepts_google_pay,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
333,333 S BOYLSTON ST,LOS ANGELES,CA,90017,95,A,1.5,103.0,$$$,Null,Null,Null,Yes,No,Null,No,No,Yes,Null,Null,Very Loud,Full Bar,No,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1642,1642 W TEMPLE ST,LOS ANGELES,CA,90026,96,A,4.5,166.0,$$,No,Null,Null,Yes,Null,Null,Yes,Null,Yes,Null,Hipster,Average,Beer & Wine Only,No,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
#1 CAFE,2080 CENTURY PARK E STE 108,LOS ANGELES,CA,90067,94,A,3.5,3.0,$$,No,Yes,Yes,Yes,Null,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
#2 MOON BBQ,478 N WESTERN AVE,LOS ANGELES,CA,90004,90,A,3.0,587.0,$$,No,No,No,Yes,No,"Lunch, Dinner, Late Night",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
10 - E,811 W 7TH ST,LOS ANGELES,CA,90017,97,A,4.0,403.0,$$,Yes,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,No,Yes,Casual,Classy,Average,Full Bar,No,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
161 STREET PIZZERIA,3252 CAHUENGA BLVD W,LOS ANGELES,CA,90068,93,A,3.0,19.0,$,No,Yes,Yes,Yes,Null,Null,Yes,Yes,Yes,Casual,Casual,Null,No,No,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1810 RESTAURANT,105 W 9TH ST,LOS ANGELES,CA,90015,94,A,4.0,277.0,$$,Yes,No,Yes,Yes,No,Dinner,Yes,Yes,Yes,Casual,Intimate,Average,Beer & Wine Only,No,Free,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1880 CAFE,1880 CENTURY PARK E STE 103,LOS ANGELES,CA,90067,92,A,4.5,79.0,$,No,Yes,Yes,Yes,No,Null,Yes,Yes,No,Casual,Casual,Average,No,No,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1ST STREET BURGERS,3737 E 1ST ST,LOS ANGELES,CA,90063,90,A,4.0,53.0,$,No,No,Yes,Yes,No,Null,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
23RD ST CAFE,936 W 23RD ST,LOS ANGELES,CA,90007,94,A,4.0,455.0,$,No,Yes,Yes,Yes,No,"Breakfast, Brunch, Lunch",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,Yes,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
