RestaurantName,LocationName,CategoryName,Address_x,City_x,State_x,Zip,Violations,CurrentDemerits,InspectionDemerits,CurrentScore,InspectionScore,CurrentGrade,InspectionGrade,BusinessId,Neighborhood,Address_y,City_y,State_y,Stars,ReviewCount,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,BYOB,BYOBCorkage,BestNights,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,ByAppointmentOnly,Caters,CoatCheck,Corkage,DietaryRestrictions,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,HairSpecializesIn,HappyHour,HasTV,Music,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsCounterService,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi
Yum Yum BBQ,Yum Yum BBQ,Restaurant,430 E Silverado Ranch Blvd,Las Vegas,Nevada,89183.0,7,14.0,13.0,95.0,95.0,A,A,wtcMoqKiaxkFPZj0BC9jlw,Southeast,"430 E Silverado Ranch Blvd, Ste 115",Las Vegas,NV,4.0,54,Null,Null,0.0,1.0,Null,Null,Null,Null,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,0.0,Null,0.0,0.0,Null,1.0,1.0,2,0.0,1.0,1.0,Null,1.0,0.0
IHOP,INTERNATIONAL HOUSE OF PANCAKES,Restaurant,2210 S Las Vegas Blvd,Las Vegas,Nevada,89104.0,86,139.0,191.0,95.0,90.55555555555556,A,A,kJ_Rke1dt9zpbJp9lX6sXw,The Strip,2210 Las Vegas Blvd S,Las Vegas,NV,2.5,118,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,0.0,Null,1.0,3.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,0.0,1.0,1.0,Null,1.0,0.0
Panera Bread,Panera Bread,Restaurant,5130 S Fort Apache Rd,Las Vegas,Nevada,89148.0,53,86.0,115.0,95.0,90.71428571428572,A,A,6bgjcFOy4WHMyw62_1V9Pw,Spring Valley,5130 S Fort Apache Rd,Las Vegas,NV,3.5,210,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,0.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,1.0
Shalimar Restaurant,Shalimar Restaurant,Restaurant,4001 S Decatur Blvd 31,Las Vegas,Nevada,89103.0,9,20.0,20.0,85.0,85.0,B,B,4L3VJwVqUareUUIGPE2zcw,,4001 S Decatur Blvd,Las Vegas,NV,3.5,103,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,1.0,1.0,2,1.0,1.0,1.0,Null,1.0,1.0
Shalimar Restaurant,Shalimar Restaurant,Restaurant,4001 S Decatur Blvd,Las Vegas,Nevada,89103.0,67,16.0,148.0,95.0,91.42857142857143,A,A,4L3VJwVqUareUUIGPE2zcw,,4001 S Decatur Blvd,Las Vegas,NV,3.5,103,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,1.0,1.0,2,1.0,1.0,1.0,Null,1.0,1.0
Rum Runner Lounge,Rum Runner,Bar / Tavern,1801 E Tropicana Ave 8,Las Vegas,Nevada,89119.0,32,60.0,69.0,95.0,94.0,A,A,aEswvENK_RJnPbcJPSvAjA,Eastside,1801 E Tropicana Ave,Las Vegas,NV,4.0,98,Null,Null,2.0,1.0,Null,Null,3.0,1.0,Null,1.0,1.0,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,Null,Null,1.0,1.0,1.0,1.0,Null,0.0,Null,Null,Null,1.0,1,0.0,Null,Null,1.0,1.0,0.0
Taqueria Santander,Taqueria Santander,Restaurant,5061 E Sahara Ave,Las Vegas,Nevada,89142.0,7,15.0,22.0,95.0,95.0,A,A,9M0cQtHWkLNhGxPYt1qakA,Sunrise,5061 E Sahara Ave,Las Vegas,NV,4.0,6,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,1.0,Null,0.0,Null,0.0,Null,Null,0.0,Null,Null,Null,0.0,1.0,Null,Null,Null
ZT8,ZT8,Bar / Tavern,4001 S DECATUR,Las Vegas,Nevada,89103.0,1,0.0,0.0,95.0,95.0,A,A,BTPirhxv1swkOXzng3B-kA,,"4001 S Decatur Blvd, Ste 25",Las Vegas,NV,5.0,15,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,1.0,Null,Null,Null,1.0,1.0,0.0,1.0,Null,0.0,Null,Null,Null,1.0,1,1.0,Null,Null,Null,1.0,1.0
El Sombrero Cafe,El Sombrero Cafe,Restaurant,807 S Main St,Las Vegas,Nevada,89101.0,17,18.0,45.0,95.0,95.0,A,A,bpHeCdmCRFAUZqXT2TMdig,Downtown,807 S Main St,Las Vegas,NV,3.5,59,Null,Null,1.0,2.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,0.0,1.0,1.0,Null,1.0,0.0
Yummy House,Yummy House,Restaurant,4944 E Tropicana Ave C,Las Vegas,Nevada,89121.0,36,24.0,130.0,95.0,85.0,A,B,ten1jIj2JOoQMrl1yCmxFg,Eastside,4944 E Tropicana Ave,Las Vegas,NV,2.0,7,Null,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.0,Null,Null,0.0,Null,0.0,Null,Null,0.0,Null,1.0,1.0,1,Null,1.0,1.0,Null,Null,Null
Molcasalsa Mexican Food,Molcasalsa Mexican Food,Restaurant,831 N Rancho Dr,Las Vegas,Nevada,89106.0,23,50.0,58.0,95.0,93.0,A,A,oUso4QWH1OAXboD8IMjpFQ,,831 N Rancho Dr,Las Vegas,NV,4.0,13,Null,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,Null
Dunkin' Donuts,DUNKIN DONUTS,Restaurant,5861 W Craig Rd,Las Vegas,Nevada,89130.0,63,96.0,109.0,95.0,92.69230769230771,A,A,Q-dVQgyof9paXKJLwFsn3Q,Northwest,"5861 W Craig Rd, Ste 101",Las Vegas,NV,2.5,68,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,1.0,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,Null,Null,0.0,Null,Null,0.0,Null,1,Null,Null,1.0,Null,0.0,1.0
Omelet House,Omelet House,Restaurant,2160 W Charleston Blvd,Las Vegas,Nevada,89102.0,55,92.0,139.0,95.0,86.7857142857143,A,B,Qc0l8rZ3nvrcERitgxu8XA,Downtown,"2160 W Charleston Blvd, Ste A",Las Vegas,NV,4.5,1096,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,3.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,0.0,1.0,1.0,Null,1.0,0.0
