violations,rating,drive_thru,good_for_kids,noise_level,restaurants_table_service,accepts_apple_pay,waiter_service,inspection_grade
7,4.0,-1,1,0,1,-1,-1,A
86,2.5,0,1,1,1,1,-1,A
53,3.5,-1,1,1,0,1,0,A
9,3.5,-1,1,1,1,0,-1,B
32,4.0,-1,-1,1,-1,-1,-1,A
7,4.0,-1,1,0,0,-1,-1,A
1,5.0,-1,-1,1,-1,-1,-1,A
17,3.5,-1,1,1,1,0,1,A
36,2.0,-1,-1,0,1,-1,-1,B
23,4.0,-1,1,-1,0,-1,-1,A
63,2.5,-1,-1,-1,-1,0,-1,A
55,4.5,-1,1,1,1,0,1,B
16,3.0,-1,1,1,0,0,-1,A
32,3.0,-1,1,0,0,-1,-1,B
128,2.5,-1,1,1,1,0,-1,A
38,3.5,-1,1,1,1,0,1,A
1,5.0,-1,-1,-1,-1,-1,-1,A
113,3.5,-1,1,1,1,0,-1,B
21,4.5,-1,-1,0,-1,-1,-1,B
55,3.5,0,1,1,1,0,-1,A
55,3.5,-1,1,1,1,0,-1,A
101,4.5,-1,1,0,1,0,1,B
28,3.5,-1,1,1,0,-1,-1,A
28,3.5,-1,1,0,0,0,0,A
36,3.0,-1,-1,1,-1,-1,-1,A
161,4.0,-1,1,1,1,0,1,B
34,2.0,-1,-1,-1,-1,-1,-1,A
34,4.0,-1,-1,-1,-1,-1,-1,A
34,3.0,-1,-1,-1,-1,1,-1,A
34,4.0,-1,-1,-1,-1,-1,-1,A
3,2.5,1,1,-1,-1,0,-1,A
19,3.0,-1,-1,3,-1,-1,-1,A
10,3.0,-1,1,1,-1,-1,-1,A
108,4.5,-1,1,1,1,0,-1,B
20,3.5,-1,1,0,1,0,1,A
20,4.0,-1,-1,-1,-1,0,-1,A
26,1.5,-1,-1,-1,0,-1,-1,B
31,4.0,-1,1,0,1,0,-1,A
59,3.5,-1,1,1,0,-1,-1,B
81,3.0,-1,1,0,0,-1,-1,A
24,3.0,-1,1,1,-1,0,-1,A
12,4.0,0,1,1,0,1,-1,A
12,3.5,0,1,1,1,-1,-1,A
14,3.0,-1,1,1,1,-1,-1,A
76,4.0,-1,1,1,0,0,-1,B
145,2.0,-1,1,1,1,0,-1,B
13,3.5,-1,-1,-1,-1,-1,-1,A
53,4.5,-1,1,1,1,0,-1,A
2,2.5,0,1,1,-1,0,-1,A
61,3.5,-1,1,2,0,1,-1,A
27,3.5,-1,1,1,1,1,-1,A
39,4.0,-1,1,1,1,0,-1,B
115,3.5,-1,1,0,0,-1,0,B
40,2.5,-1,1,1,0,-1,-1,A
12,4.0,-1,1,1,-1,-1,-1,A
33,4.0,-1,1,1,0,0,-1,A
121,3.5,-1,1,1,1,0,1,B
49,2.5,-1,1,1,-1,1,-1,A
80,4.0,-1,1,0,1,-1,-1,B
58,3.0,-1,1,1,0,-1,-1,B
21,4.0,-1,1,1,1,0,-1,A
9,4.0,-1,1,0,-1,0,-1,A
32,3.5,-1,1,1,-1,1,-1,A
43,3.0,-1,1,1,-1,0,-1,A
74,2.5,1,1,0,0,0,-1,A
74,3.0,-1,1,1,0,0,0,A
74,3.0,-1,1,1,0,0,0,A
25,3.5,-1,1,1,1,1,1,A
261,4.0,-1,1,1,1,0,-1,B
44,2.0,-1,1,1,0,-1,-1,B
21,4.0,-1,-1,1,-1,0,-1,A
44,3.5,-1,1,1,1,-1,-1,B
56,4.5,-1,1,-1,-1,-1,-1,A
28,4.0,-1,-1,1,-1,0,-1,A
99,3.5,0,1,1,0,0,-1,B
25,2.5,-1,-1,-1,-1,-1,-1,A
35,4.5,-1,1,0,-1,0,-1,B
37,3.0,0,1,1,1,0,-1,B
22,4.5,-1,1,1,-1,-1,-1,A
22,4.0,-1,1,0,0,0,0,A
2,4.5,-1,1,2,-1,-1,-1,A
102,4.5,-1,1,1,1,0,-1,A
63,4.0,-1,1,1,1,-1,-1,A
25,3.0,-1,1,2,-1,0,-1,A
9,3.0,-1,1,1,0,-1,-1,A
67,3.5,-1,1,1,0,0,-1,A
41,4.5,-1,1,1,-1,0,-1,A
147,4.0,-1,1,1,1,-1,-1,B
31,4.0,-1,0,1,-1,0,-1,A
50,4.5,-1,1,1,0,-1,-1,A
34,2.0,-1,1,0,0,-1,-1,B
34,1.5,1,1,2,0,1,-1,B
29,3.5,-1,0,3,1,-1,-1,B
17,4.0,-1,1,0,1,0,-1,A
3,4.0,-1,1,0,1,-1,-1,A
6,3.5,-1,1,0,0,-1,-1,A
79,3.5,0,1,1,0,0,-1,A
44,4.0,-1,0,1,1,0,-1,A
69,3.5,-1,1,1,1,0,1,A
66,3.0,0,1,1,0,0,-1,A
72,3.0,0,0,1,1,1,-1,A
4,5.0,-1,1,0,-1,1,-1,E
27,3.5,-1,0,2,-1,0,-1,A
43,3.5,-1,1,1,0,1,-1,A
6,4.5,-1,0,1,1,-1,-1,A
9,4.0,-1,1,1,1,-1,-1,A
108,3.5,-1,1,0,0,-1,-1,A
113,3.0,-1,1,1,1,1,-1,B
69,3.5,-1,1,0,1,0,-1,B
34,3.0,1,1,1,0,0,-1,A
