zip_code,violations,rating,drive_thru,good_for_kids,good_for_meal,noise_level,restaurants_table_service,accepts_apple_pay,waiter_service,inspection_grade
89183,7,4.0,-1,1,2,0,1,-1,-1,A
89104,86,2.5,0,1,3,1,1,1,-1,A
89148,53,3.5,-1,1,2,1,0,1,0,A
89103,9,3.5,-1,1,2,1,1,0,-1,B
89119,32,4.0,-1,-1,-1,1,-1,-1,-1,A
89142,7,4.0,-1,1,0,0,0,-1,-1,A
89103,1,5.0,-1,-1,-1,1,-1,-1,-1,A
89101,17,3.5,-1,1,1,1,1,0,1,A
89121,36,2.0,-1,-1,1,0,1,-1,-1,B
89106,23,4.0,-1,1,0,-1,0,-1,-1,A
89130,63,2.5,-1,-1,0,-1,-1,0,-1,A
89102,55,4.5,-1,1,3,1,1,0,1,B
89119,16,3.0,-1,1,1,1,0,0,-1,A
89119,32,3.0,-1,1,0,0,0,-1,-1,B
89129,128,2.5,-1,1,1,1,1,0,-1,A
89147,38,3.5,-1,1,2,1,1,0,1,A
89121,1,5.0,-1,-1,-1,-1,-1,-1,-1,A
89146,113,3.5,-1,1,1,1,1,0,-1,B
89110,21,4.5,-1,-1,-1,0,-1,-1,-1,B
89183,55,3.5,0,1,3,1,1,0,-1,A
89183,55,3.5,-1,1,1,1,1,0,-1,A
89120,101,4.5,-1,1,1,0,1,0,1,B
89118,28,3.5,-1,1,1,1,0,-1,-1,A
89118,28,3.5,-1,1,1,0,0,0,0,A
89131,36,3.0,-1,-1,-1,1,-1,-1,-1,A
89103,161,4.0,-1,1,2,1,1,0,1,B
89139,34,2.0,-1,-1,-1,-1,-1,-1,-1,A
89139,34,4.0,-1,-1,-1,-1,-1,-1,-1,A
89139,34,3.0,-1,-1,-1,-1,-1,1,-1,A
89139,34,4.0,-1,-1,-1,-1,-1,-1,-1,A
89141,3,2.5,1,1,0,-1,-1,0,-1,A
89101,19,3.0,-1,-1,-1,3,-1,-1,-1,A
89119,10,3.0,-1,1,-1,1,-1,-1,-1,A
89101,108,4.5,-1,1,2,1,1,0,-1,B
89117,20,3.5,-1,1,3,0,1,0,1,A
89149,20,4.0,-1,-1,-1,-1,-1,0,-1,A
89147,26,1.5,-1,-1,-1,-1,0,-1,-1,B
89123,31,4.0,-1,1,3,0,1,0,-1,A
89119,59,3.5,-1,1,2,1,0,-1,-1,B
89128,81,3.0,-1,1,2,0,0,-1,-1,A
89103,24,3.0,-1,1,-1,1,-1,0,-1,A
89117,12,4.0,0,1,2,1,0,1,-1,A
89117,12,3.5,0,1,1,1,1,-1,-1,A
89117,14,3.0,-1,1,2,1,1,-1,-1,A
89104,76,4.0,-1,1,3,1,0,0,-1,B
89102,145,2.0,-1,1,2,1,1,0,-1,B
89134,13,3.5,-1,-1,-1,-1,-1,-1,-1,A
89107,53,4.5,-1,1,3,1,1,0,-1,A
89117,2,2.5,0,1,-1,1,-1,0,-1,A
89115,61,3.5,-1,1,1,2,0,1,-1,A
89108,27,3.5,-1,1,3,1,1,1,-1,A
89103,39,4.0,-1,1,3,1,1,0,-1,B
89147,115,3.5,-1,1,2,0,0,-1,0,B
89119,40,2.5,-1,1,1,1,0,-1,-1,A
89107,12,4.0,-1,1,0,1,-1,-1,-1,A
89128,33,4.0,-1,1,3,1,0,0,-1,A
89123,121,3.5,-1,1,2,1,1,0,1,B
89122,49,2.5,-1,1,-1,1,-1,1,-1,A
89146,80,4.0,-1,1,1,0,1,-1,-1,B
89103,58,3.0,-1,1,1,1,0,-1,-1,B
89135,21,4.0,-1,1,2,1,1,0,-1,A
89128,9,4.0,-1,1,-1,0,-1,0,-1,A
89103,32,3.5,-1,1,-1,1,-1,1,-1,A
89130,43,3.0,-1,1,-1,1,-1,0,-1,A
89117,74,2.5,1,1,3,0,0,0,-1,A
89117,74,3.0,-1,1,4,1,0,0,0,A
89117,74,3.0,-1,1,5,1,0,0,0,A
89117,25,3.5,-1,1,3,1,1,1,1,A
89102,261,4.0,-1,1,2,1,1,0,-1,B
89110,44,2.0,-1,1,2,1,0,-1,-1,B
89147,21,4.0,-1,-1,-1,1,-1,0,-1,A
89106,44,3.5,-1,1,2,1,1,-1,-1,B
89101,56,4.5,-1,1,-1,-1,-1,-1,-1,A
89121,28,4.0,-1,-1,-1,1,-1,0,-1,A
89102,99,3.5,0,1,2,1,0,0,-1,B
89148,25,2.5,-1,-1,-1,-1,-1,-1,-1,A
89121,35,4.5,-1,1,0,0,-1,0,-1,B
89148,37,3.0,0,1,5,1,1,0,-1,B
89128,22,4.5,-1,1,-1,1,-1,-1,-1,A
89106,22,4.0,-1,1,1,0,0,0,0,A
89139,2,4.5,-1,1,0,2,-1,-1,-1,A
89102,102,4.5,-1,1,3,1,1,0,-1,A
89147,63,4.0,-1,1,1,1,1,-1,-1,A
89118,25,3.0,-1,1,-1,2,-1,0,-1,A
89118,9,3.0,-1,1,1,1,0,-1,-1,A
89120,67,3.5,-1,1,2,1,0,0,-1,A
89103,41,4.5,-1,1,-1,1,-1,0,-1,A
89104,147,4.0,-1,1,1,1,1,-1,-1,B
89104,31,4.0,-1,0,-1,1,-1,0,-1,A
89101,50,4.5,-1,1,2,1,0,-1,-1,A
89110,34,2.0,-1,1,0,0,0,-1,-1,B
89110,34,1.5,1,1,1,2,0,1,-1,B
89145,29,3.5,-1,0,0,3,1,-1,-1,B
89103,17,4.0,-1,1,1,0,1,0,-1,A
89121,3,4.0,-1,1,0,0,1,-1,-1,A
89147,6,3.5,-1,1,0,0,0,-1,-1,A
89128,79,3.5,0,1,1,1,0,0,-1,A
89119,44,4.0,-1,0,3,1,1,0,-1,A
89117,69,3.5,-1,1,2,1,1,0,1,A
89103,66,3.0,0,1,3,1,0,0,-1,A
89118,72,3.0,0,0,3,1,1,1,-1,A
89123,4,5.0,-1,1,-1,0,-1,1,-1,E
89102,27,3.5,-1,0,0,2,-1,0,-1,A
89104,43,3.5,-1,1,3,1,0,1,-1,A
89117,6,4.5,-1,0,1,1,1,-1,-1,A
89102,9,4.0,-1,1,3,1,1,-1,-1,A
89130,108,3.5,-1,1,2,0,0,-1,-1,A
89102,113,3.0,-1,1,2,1,1,1,-1,B
89113,69,3.5,-1,1,2,0,1,0,-1,B
89143,34,3.0,1,1,2,1,0,0,-1,A
89118,30,4.5,-1,-1,-1,0,-1,-1,-1,A
89109,132,2.5,-1,1,0,0,1,-1,-1,B
89115,59,3.0,-1,1,0,0,1,-1,-1,A
89117,8,4.5,-1,1,2,1,0,-1,-1,A
89117,89,3.5,-1,1,2,1,0,0,0,A
89115,23,5.0,0,1,-1,1,-1,0,-1,B
89123,20,2.0,-1,1,0,0,0,-1,-1,A
89118,15,4.0,0,1,2,1,0,0,-1,B
89123,49,3.5,-1,1,4,1,0,0,0,A
89145,21,4.0,-1,1,4,1,1,1,-1,A
89139,80,2.5,0,1,2,1,0,0,0,A
89129,50,2.5,-1,1,2,1,0,0,0,A
89129,50,3.0,-1,1,0,2,-1,0,-1,A
89118,93,3.0,0,1,0,0,1,0,-1,B
89101,23,4.0,-1,1,-1,1,-1,0,-1,A
89169,76,2.0,-1,1,0,2,0,0,0,A
89030,33,4.0,-1,1,0,1,-1,0,-1,B
89122,98,4.0,-1,1,2,1,1,0,1,B
89141,24,4.0,-1,1,3,0,0,1,-1,A
89146,45,4.5,-1,1,1,1,1,0,-1,A
89101,37,4.0,-1,1,2,0,1,0,-1,A
89102,119,3.0,-1,1,1,1,1,0,-1,B
89139,12,3.0,-1,1,3,1,1,-1,-1,A
89147,60,4.0,0,1,1,0,0,0,-1,A
89128,47,4.0,1,1,-1,1,-1,0,-1,A
89123,23,3.5,0,1,0,1,-1,-1,-1,B
89146,6,4.5,-1,1,2,0,0,-1,-1,B
89122,111,2.5,0,1,2,1,0,0,0,A
89122,111,2.5,1,1,3,1,0,-1,0,A
89135,20,3.5,0,1,2,1,0,-1,0,A
89135,20,3.0,0,1,1,2,0,0,0,A
89104,10,2.0,-1,1,0,0,0,-1,-1,A
89104,10,3.5,-1,1,-1,0,-1,-1,-1,A
89146,54,4.0,-1,1,2,1,1,0,-1,A
89147,22,3.5,1,1,3,1,0,-1,0,A
89147,22,2.0,1,1,3,1,0,-1,0,A
89106,14,3.0,-1,1,1,0,1,0,-1,B
89117,2,4.0,-1,1,-1,1,-1,-1,-1,A
89123,50,3.5,-1,1,2,1,1,-1,1,A
89109,24,1.5,-1,1,-1,1,-1,0,-1,A
89117,42,3.0,-1,1,3,1,1,-1,1,A
89103,3,4.0,-1,1,2,1,0,-1,-1,A
89135,130,3.5,-1,1,2,1,0,0,-1,B
89014,56,3.5,-1,1,2,2,1,0,-1,A
89104,106,4.0,-1,1,0,1,-1,-1,-1,B
89118,11,4.0,-1,1,0,1,1,-1,-1,A
89148,1,3.5,0,1,2,1,0,-1,-1,A
89103,39,4.0,-1,1,2,0,1,0,1,B
89139,46,1.5,0,1,0,1,0,-1,-1,B
89117,19,4.0,-1,1,4,1,1,0,1,A
89102,57,3.0,-1,1,2,1,0,0,0,A
89032,31,3.0,-1,1,1,1,0,0,-1,B
89149,27,3.5,-1,1,-1,1,-1,0,-1,A
89146,90,4.0,-1,1,1,0,0,-1,-1,B
89130,32,3.0,0,1,0,1,0,-1,-1,B
