name,location_name,category_name,address,city,state,zip_code,violations,current_demerits,inspection_demerits,current_score,inspection_score,current_grade,inspection_grade,business_id,neighborhood,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,gender_neutral_restrooms,good_for,good_for_working,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
Yum Yum BBQ,Yum Yum BBQ,Restaurant,430 E Silverado Ranch Blvd,Las Vegas,Nevada,89183,7,14,13,95,95,A,A,wtcMoqKiaxkFPZj0BC9jlw,Southeast,4,54,Null,Null,0,1,Null,Null,Null,Null,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,0,Null,0,0,Null,1,1,2,0,1,1,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
IHOP,INTERNATIONAL HOUSE OF PANCAKES,Restaurant,2210 S Las Vegas Blvd,Las Vegas,Nevada,89104,86,139,191,95,90.55555556,A,A,kJ_Rke1dt9zpbJp9lX6sXw,The Strip,2.5,118,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,0,Null,1,3,Null,Null,0,Null,1,Null,0,0,Null,0,1,2,0,1,1,Null,1,0,Yes,Null,Yes,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Null,Null,Null
Panera Bread,Panera Bread,Restaurant,5130 S Fort Apache Rd,Las Vegas,Nevada,89148,53,86,115,95,90.71428571,A,A,6bgjcFOy4WHMyw62_1V9Pw,Spring Valley,3.5,210,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,1,Yes,Yes,Null,"Breakfast, Lunch",Null,Null,Null,Yes,Yes,Null,No
Shalimar Restaurant,Shalimar Restaurant,Restaurant,4001 S Decatur Blvd 31,Las Vegas,Nevada,89103,9,20,20,85,85,B,B,4L3VJwVqUareUUIGPE2zcw,Null,3.5,103,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,1,1,2,1,1,1,Null,1,1,No,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null
Rum Runner Lounge,Rum Runner,Bar / Tavern,1801 E Tropicana Ave 8,Las Vegas,Nevada,89119,32,60,69,95,94,A,A,aEswvENK_RJnPbcJPSvAjA,Eastside,4,98,Null,Null,2,1,Null,Null,3,1,Null,1,1,Null,Null,0,Null,Null,Null,Null,0,Null,Null,Null,1,1,1,1,Null,0,Null,Null,Null,1,1,0,Null,Null,1,1,0,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null
Taqueria Santander,Taqueria Santander,Restaurant,5061 E Sahara Ave,Las Vegas,Nevada,89142,7,15,22,95,95,A,A,9M0cQtHWkLNhGxPYt1qakA,Sunrise,4,6,Null,Null,0,0,Null,Null,Null,Null,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,1,0,Null,Null,1,Null,0,Null,0,Null,Null,0,Null,Null,Null,0,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ZT8,ZT8,Bar / Tavern,4001 S DECATUR,Las Vegas,Nevada,89103,1,0,0,95,95,A,A,BTPirhxv1swkOXzng3B-kA,Null,5,15,Null,Null,1,0,Null,Null,Null,Null,Null,1,0,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,1,1,0,1,Null,0,Null,Null,Null,1,1,1,Null,Null,Null,1,1,Null,Null,Yes,Null,Null,Null,Yes,Null,Null,Null,Null
El Sombrero Cafe,El Sombrero Cafe,Restaurant,807 S Main St,Las Vegas,Nevada,89101,17,18,45,95,95,A,A,bpHeCdmCRFAUZqXT2TMdig,Downtown,3.5,59,Null,Null,1,2,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,No,0,Null,1,Null,0,0,Null,0,1,2,0,1,1,Null,1,0,No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes
Yummy House,Yummy House,Restaurant,4944 E Tropicana Ave C,Las Vegas,Nevada,89121,36,24,130,95,85,A,B,ten1jIj2JOoQMrl1yCmxFg,Eastside,2,7,Null,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,0,Null,0,Null,Null,0,Null,1,1,1,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Molcasalsa Mexican Food,Molcasalsa Mexican Food,Restaurant,831 N Rancho Dr,Las Vegas,Nevada,89106,23,50,58,95,93,A,A,oUso4QWH1OAXboD8IMjpFQ,Null,4,13,Null,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,1,0,Null,Null,Null,Null,Null,Null,1,0,Null,0,1,1,0,0,1,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Dunkin' Donuts,DUNKIN DONUTS,Restaurant,5861 W Craig Rd,Las Vegas,Nevada,89130,63,96,109,95,92.69230769,A,A,Q-dVQgyof9paXKJLwFsn3Q,Northwest,2.5,68,Null,Null,0,Null,Null,Null,Null,0,Null,1,1,0,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,0,Null,Null,0,Null,1,Null,Null,1,Null,0,1,No,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null
Omelet House,Omelet House,Restaurant,2160 W Charleston Blvd,Las Vegas,Nevada,89102,55,92,139,95,86.78571429,A,B,Qc0l8rZ3nvrcERitgxu8XA,Downtown,4.5,1096,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,No,Null,Null,1,3,Null,Null,0,Null,1,Null,0,0,Null,0,1,2,0,1,1,Null,1,0,No,No,Null,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Yes,Null,Yes
Spicy Pickle,Spicy Pickle,Restaurant,7271 Amigo St,Las Vegas,Nevada,89119,16,0,29,95,95,A,A,iWox6NQVA76eH61toMhxfA,Southeast,3,94,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,0,Null,Null,1,1,Null,Null,0,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,0,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Chicago Dogs,Chicago Dogs - Napoli Plaza,Restaurant,2055 E Tropicana Ave 11,Las Vegas,Nevada,89119,32,36,79,95,80,A,B,p9WVPQVhVzbBh_KEWJ21Ug,Eastside,3,4,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,0,Null,0,Null,Null,Null,Null,Null,Null,1,0,Null,Null,1,Null,0,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
