zip_code,violations,current_demerits,inspection_demerits,inspection_grade,current_score,inspection_score,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,gender_neutral_restrooms,good_for,good_for_working,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
89183,7,14,13,A,95.0,95.0,4.0,54,-1,-1,0,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,1,-1,0,-1,0,0,-1,1,1,2,0,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89104,86,139,191,A,95.0,90.55555556,2.5,118,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,0,-1,1,3,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1
89148,53,86,115,A,95.0,90.71428571,3.5,210,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,1,1,1,1,-1,2,-1,-1,-1,1,1,-1,0
89103,9,20,20,B,85.0,85.0,3.5,103,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,1,-1,1,-1,0,0,-1,1,1,2,1,1,1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
89119,32,60,69,A,95.0,94.0,4.0,98,-1,-1,2,1,-1,-1,3,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,1,1,0,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
89142,7,15,22,A,95.0,95.0,4.0,6,-1,-1,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89103,1,0,0,A,95.0,95.0,5.0,15,-1,-1,1,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
89101,17,18,45,A,95.0,95.0,3.5,59,-1,-1,1,2,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,0,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,1
89121,36,24,130,B,95.0,85.0,2.0,7,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,0,-1,-1,0,-1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89106,23,50,58,A,95.0,93.0,4.0,13,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,0,1,1,0,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89130,63,96,109,A,95.0,92.69230769,2.5,68,-1,-1,0,-1,-1,-1,-1,0,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,1,-1,-1,1,-1,0,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
89102,55,92,139,B,95.0,86.78571429,4.5,1096,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,0,-1,-1,1,3,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,3,-1,-1,-1,-1,1,-1,1
89119,16,0,29,A,95.0,95.0,3.0,94,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89119,32,36,79,B,95.0,80.0,3.0,4,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,0,-1,0,0,-1,0,1,1,0,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89129,128,108,212,A,95.0,90.55555556,2.5,51,-1,-1,0,0,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,1,-1,0,0,-1,1,1,2,0,1,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
