zip_code,violations,current_demerits,inspection_demerits,inspection_grade,rating,review_count,alcohol,ambience,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,caters,coat_check,corkage,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,good_for,has_pool_table,waiter_service
89183,7,14,13,A,4,54,0,1,0,3,1,0,1,1,1,0,0,0,0,1,1,2,1,1,1,0,0,0,0,1,1,2,0,1,1,-1,1,0,-1,-1,-1,-1,-1
89104,86,139,191,A,2.5,118,0,1,0,3,1,0,1,1,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,1,2,0,1,1,-1,1,0,1,-1,3,-1,-1
89148,53,86,115,A,3.5,210,0,1,1,3,1,0,1,1,1,0,0,0,0,0,1,2,1,0,1,1,0,1,0,0,1,1,0,0,1,-1,1,1,1,1,2,-1,0
89103,9,20,20,B,3.5,103,0,1,0,3,1,0,1,1,1,0,0,0,0,1,1,2,1,1,1,1,0,0,0,1,1,2,1,1,1,-1,1,1,0,-1,-1,-1,-1
89119,32,60,69,A,4,98,2,1,1,3,1,0,1,1,1,0,0,0,0,0,1,3,1,1,1,1,0,0,0,0,1,1,0,0,-1,1,1,0,-1,-1,-1,1,-1
89142,7,15,22,A,4,6,0,0,0,3,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1
89103,1,0,0,A,5,15,1,0,0,3,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,-1,1,1,-1,-1,-1,1,-1
89101,17,18,45,A,3.5,59,1,2,0,3,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,2,0,1,1,-1,1,0,0,0,2,-1,1
89121,36,24,130,B,2,7,0,0,0,3,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,-1
89106,23,50,58,A,4,13,0,0,0,3,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1
89130,63,96,109,A,2.5,68,0,1,0,3,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,-1,0,1,0,-1,-1,-1,-1
89102,55,92,139,B,4.5,1096,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,3,1,0,1,1,0,0,0,0,1,2,0,1,1,-1,1,0,0,0,3,-1,1
89119,16,0,29,A,3,94,0,1,0,3,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,-1,1,0,0,-1,-1,-1,-1
89119,32,36,79,B,3,4,0,0,0,3,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,-1,0,-1,-1,-1,-1,-1
89129,128,108,212,A,2.5,51,0,0,0,3,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,2,0,1,1,-1,1,0,0,-1,-1,-1,-1
89147,38,39,86,A,3.5,360,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,2,1,1,1,-1,1,0,0,0,2,-1,1
89121,1,1,1,A,5,28,0,1,0,3,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,2,0,0,1,1,1,-1,-1,-1,-1,-1,-1
89146,113,132,274,B,3.5,39,2,0,0,3,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,2,1,1,1,1,-1,0,0,-1,1,-1,-1
89110,21,80,53,B,4.5,5,2,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1
89183,55,114,125,A,3.5,200,1,1,1,3,1,0,1,1,0,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,1,1,0,1,1,1,-1,1,0,0,3,-1,-1
89183,55,114,125,A,3.5,24,2,1,0,3,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,-1,1,1,0,0,3,-1,-1
89120,101,120,233,B,4.5,143,0,1,0,3,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,-1,1,0,0,0,1,-1,1
