BusinessId,RestaurantName,Neighborhood,Address,City,State,Zip,Stars,ReviewCount,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,BYOB,BYOBCorkage,BestNights,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,ByAppointmentOnly,Caters,CoatCheck,Corkage,DietaryRestrictions,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,HairSpecializesIn,HappyHour,HasTV,Music,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsCounterService,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi
vJIuDBdu01vCA8y1fwR1OQ,CakesbyToi,Null,"3940 Martin Luther King Blvd, Ste 101",Las Vegas,NV,89106.0,1.5,3,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,Null,Null,Null,Null
kgffcoxT6BQp-gJ-UQ7Czw,Subway,Summerlin,2255 N Rampart Blvd,Las Vegas,NV,89128.0,2.5,13,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,0.0,Null,1.0,3.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
0jtRI7hVMpQHpUVtUy4ITw,Omelet House Summerlin,Summerlin,2227 N Rampart Blvd,Las Vegas,NV,89128.0,4.0,242,Null,Null,1.0,1.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,3.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,0.0,1.0,1.0,Null,1.0,0.0
JJEx5wIqs9iGGATOagE8Sg,Baja Fresh Mexican Grill,Centennial,7930 W Tropical Pkwy,Las Vegas,NV,89149.0,2.0,4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,Null
coVhQD_EAnCof_a8sGM03g,Provence Bakery,Chinatown,5115 Spring Mountain Rd,Las Vegas,NV,89146.0,2.0,8,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,Null,Null
zhxnD7J5_sCrKSw5cwI9dQ,Popeyes Louisiana Kitchen,Sunrise,4505 E Bonanza Rd,Las Vegas,NV,89110.0,1.5,16,Null,Null,0.0,0.0,Null,Null,Null,0.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,1.0,Null,1.0,0.0,Null,Null,0.0,Null,Null,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,0.0,Null
2kWrSFkIes_d2BMg4YrRtA,Pizza Hut,Sunrise,"560 N. Nellis Blvd, Ste E1",Las Vegas,NV,89110.0,2.5,19,Null,Null,0.0,0.0,Null,Null,Null,0.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,0.0,Null,2.0,Null,0.0,0.0,Null,1.0,1.0,2,0.0,0.0,1.0,Null,0.0,0.0
6llKs7K_tn8ChXcIM-oTvg,Sansei Japan,Eastside,3480 S Maryland Pkwy,Las Vegas,NV,89169.0,4.5,3,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,0.0,Null,0.0,1.0,1,0.0,Null,1.0,Null,Null,Null
nqnYDW_FMwuTejAPNEOhqA,Seasonal Adventures Pumpkin Patch,Centennial,6400 SE Centennial Center Blvd,Las Vegas,NV,89149.0,3.0,11,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
YV9GVfmDSDM7HSV0jVdTOA,El Pollo Loco,Southeast,2505 E Tropicana Ave,Las Vegas,NV,89121.0,3.0,34,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,1.0,Null,1.0,2.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,0.0
