Accepts Apple Pay,Accepts Bitcoin,Accepts Credit Cards,Accepts Google Pay,Alcohol,Ambience,Attire,Best Nights,Bike Parking,By Appointment Only,Caters,Coat Check,Delivery,Dogs Allowed,Drive-Thru,Gender Neutral Restrooms,Good For,Good For Dancing,Good for Groups,Good for Kids,Good for Working,Happy Hour,Has Gluten-free Options,Has Pool Table,Has TV,Liked by Vegans,Liked by Vegetarians,Noise Level,Offers Military Discount,Outdoor Seating,Parking,Price,Smoking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,business_id
,,Yes,,,,,,Yes,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,vJIuDBdu01vCA8y1fwR1OQ
,,Yes,,No,Casual,,,Yes,,Yes,,No,,,,"Breakfast, Lunch, Dinner",,Yes,Yes,,,,,No,,,Average,,No,Private Lot,,,Yes,No,,,No,kgffcoxT6BQp-gJ-UQ7Czw
No,,Yes,,Beer & Wine Only,Casual,Casual,,Yes,,No,,No,,,,"Breakfast, Brunch, Lunch",,Yes,Yes,,,Yes,,Yes,,Yes,Average,,No,,,,Yes,No,,,No,0jtRI7hVMpQHpUVtUy4ITw
,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,No,,,,JJEx5wIqs9iGGATOagE8Sg
,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Lot,,,,,,,,coVhQD_EAnCof_a8sGM03g
,,Yes,,No,,,,No,,No,,No,,Yes,,,,Yes,Yes,,,,,No,,,,,No,,,,Yes,No,No,,,zhxnD7J5_sCrKSw5cwI9dQ
,,Yes,,No,,Casual,,No,,No,,Yes,,,,,,Yes,Yes,,,,,No,,,Loud,,No,,,,Yes,No,,,No,2kWrSFkIes_d2BMg4YrRtA
,,Yes,,,,Casual,,,,,,No,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,No,,,No,6llKs7K_tn8ChXcIM-oTvg
,,Yes,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,nqnYDW_FMwuTejAPNEOhqA
No,,Yes,,No,,,,Yes,,Yes,,No,,Yes,,"Lunch, Dinner",,Yes,Yes,,,,,No,,Yes,Average,,No,Private Lot,,,Yes,No,No,,No,YV9GVfmDSDM7HSV0jVdTOA
,,Yes,,No,Casual,,,Yes,,No,,No,,,,"Lunch, Dinner",,Yes,Yes,,,,,No,,,Quiet,,No,Private Lot,,,Yes,No,,,No,F7OsiFk9aLZtqZczA84xpw
