Accepts Apple Pay,business_accepts_bitcoin,business_accepts_creditcards,Accepts Google Pay,alcohol,ambience,restaurants_attire,best_nights,bike_parking,byappointmentonly,Cannabis Products,caters,coat_check,restaurants_delivery,dogs_allowed,drive_thru,Gender Neutral Restrooms,Good For,good_for_dancing,restaurants_good_for_groups,good_for_kids,Good for Working,happy_hour,Has Dairy-free Options,Has Gluten-free Options,Has Halal Options,Has Kosher Options,Has Pool Table,Has Soy-free Options,has_tv,Liked by Vegans,Liked by Vegetarians,Music,noise_level,Offers Military Discount,Open to All,outdoor_seating,business_parking,smoking,restaurants_takeout,restaurants_reservations,Waiter Service,wheelchair_accessible,wifi,business_id
Null,Null,Yes,Null,No,Casual,Casual,Null,Null,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,wtcMoqKiaxkFPZj0BC9jlw
Yes,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,No,Yes,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,kJ_Rke1dt9zpbJp9lX6sXw
Yes,Null,Yes,Yes,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Breakfast, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Yes,Yes,,Average,Null,,Yes,Private Lot,Null,Yes,No,No,Null,Free,6bgjcFOy4WHMyw62_1V9Pw
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Yes,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,Free,4L3VJwVqUareUUIGPE2zcw
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Yes,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,Free,4L3VJwVqUareUUIGPE2zcw
Null,Null,Yes,Null,Full Bar,"Divey, Casual",Null,"Mon, Thu, Sun",Yes,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Yes,,Null,,,Yes,,Yes,Null,Null,Juke Box,Average,Null,,No,Private Lot,Null,Null,No,Null,Null,No,aEswvENK_RJnPbcJPSvAjA
Null,Null,Yes,Null,No,Null,Null,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Null,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Null,Null,Yes,Null,Null,Null,Null,9M0cQtHWkLNhGxPYt1qakA
Null,Null,Yes,Null,Beer & Wine Only,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Yes,Null,Yes,Yes,Null,Null,Yes,,Null,,,Yes,,Yes,Null,Null,,Average,Null,,No,Null,Null,Null,Yes,Null,Yes,Free,BTPirhxv1swkOXzng3B-kA
No,Null,Yes,No,Full Bar,Trendy,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,No,,Null,,,Null,,No,Null,Null,,Average,Null,,No,"Street, Private Lot",Null,Yes,Yes,Yes,Null,Free,bpHeCdmCRFAUZqXT2TMdig
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,Null,Private Lot,Null,Yes,Null,Null,Null,Null,ten1jIj2JOoQMrl1yCmxFg
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Null,oUso4QWH1OAXboD8IMjpFQ
No,Null,Yes,Null,Null,Null,Null,Null,No,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,No,Private Lot,Null,Yes,Null,Null,Null,Free,Q-dVQgyof9paXKJLwFsn3Q
No,Null,Yes,No,No,Casual,Casual,Null,Yes,Null,,No,Null,No,No,Null,Null,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Null,Null,,Null,,Yes,Null,,No,Null,Yes,,Average,Null,,No,Private Lot,Null,Yes,No,Yes,Yes,No,Qc0l8rZ3nvrcERitgxu8XA
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,No,iWox6NQVA76eH61toMhxfA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,No,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Null,Null,Yes,No,Null,Null,No,p9WVPQVhVzbBh_KEWJ21Ug
No,Null,Yes,Null,No,Null,Casual,Null,Yes,Null,,Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,ujBk7cdEvo5FkD1e0Gzq1Q
No,No,Yes,No,No,Casual,Casual,Null,Yes,Null,,No,Null,No,No,Null,Null,"Breakfast, Brunch",Null,Yes,Yes,Null,No,Yes,Yes,,Yes,Null,,No,Null,Yes,,Average,Null,,No,Private Lot,Null,Yes,Yes,Yes,Yes,No,XkvvUNCmLIvOts0OftXegw
Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Yes,Null,Null,Null,Null,rLYDibyzkA4Dlreqf6YEQA
No,Null,Yes,Null,Full Bar,Null,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,Lunch,Null,Yes,Yes,Null,Yes,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Null,Null,Yes,Yes,Null,Null,No,0rk2_lmbfpiYXGBFmyxx9Q
No,Null,Yes,Null,Full Bar,Null,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,Lunch,Null,Yes,Yes,Null,Yes,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Null,Null,Yes,Yes,Null,Null,No,0rk2_lmbfpiYXGBFmyxx9Q
Null,Null,No,Null,Full Bar,Null,Null,Null,Yes,Null,,Null,Null,Null,Null,Null,Null,Null,No,Yes,Null,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Null,Null,Null,No,Null,Null,Null,B-4jb44K_qPdQUB_69gZGQ
No,Null,Yes,No,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,Yn-8zix5_blucvZo3G8kPw
No,Null,Yes,No,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,THadh2gExZ0AxzcLJbJf9g
No,Null,Yes,No,No,Casual,Casual,Null,No,Null,,Yes,Null,Yes,Null,Null,Null,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Street,Null,Yes,Yes,Yes,Yes,No,0xtBEP5zCu1153SoqqemLw
Null,No,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,Z411-jn51XGq7Xym7oWkwQ
No,Null,Yes,No,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,No,Null,Null,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Yes,,Quiet,Null,,Yes,Private Lot,Null,Yes,No,No,Yes,No,EIeU3coTP9V2qcmHhr60Yw
Null,Null,Yes,Null,Full Bar,Casual,Null,Null,Yes,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,,Null,,,Yes,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Null,No,Null,Null,Null,vwfdoACBrXFTMA066gKEcQ
