Accepts Apple Pay,Accepts Google Pay,Gender Neutral Restrooms,Good For,Good for Working,Has Gluten-free Options,Has Pool Table,Liked by Vegans,Liked by Vegetarians,Offers Military Discount,Waiter Service,business_id
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,wtcMoqKiaxkFPZj0BC9jlw
Yes,Null,Yes,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Null,Null,Null,kJ_Rke1dt9zpbJp9lX6sXw
Yes,Yes,Null,"Breakfast, Lunch",Null,Null,Null,Yes,Yes,Null,No,6bgjcFOy4WHMyw62_1V9Pw
No,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,4L3VJwVqUareUUIGPE2zcw
No,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,4L3VJwVqUareUUIGPE2zcw
Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null,aEswvENK_RJnPbcJPSvAjA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9M0cQtHWkLNhGxPYt1qakA
Null,Null,Yes,Null,Null,Null,Yes,Null,Null,Null,Null,BTPirhxv1swkOXzng3B-kA
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes,bpHeCdmCRFAUZqXT2TMdig
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,ten1jIj2JOoQMrl1yCmxFg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,oUso4QWH1OAXboD8IMjpFQ
No,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Q-dVQgyof9paXKJLwFsn3Q
No,No,Null,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Yes,Null,Yes,Qc0l8rZ3nvrcERitgxu8XA
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,iWox6NQVA76eH61toMhxfA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,p9WVPQVhVzbBh_KEWJ21Ug
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,ujBk7cdEvo5FkD1e0Gzq1Q
No,No,Null,"Breakfast, Brunch",Null,Yes,Null,Null,Yes,Null,Yes,XkvvUNCmLIvOts0OftXegw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,rLYDibyzkA4Dlreqf6YEQA
No,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null,0rk2_lmbfpiYXGBFmyxx9Q
No,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null,0rk2_lmbfpiYXGBFmyxx9Q
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,B-4jb44K_qPdQUB_69gZGQ
No,No,Null,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Null,Null,Null,Yn-8zix5_blucvZo3G8kPw
No,No,Null,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Null,Null,Null,THadh2gExZ0AxzcLJbJf9g
No,No,Null,Lunch,Null,Null,Null,Null,Null,Null,Yes,0xtBEP5zCu1153SoqqemLw
Null,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null,Z411-jn51XGq7Xym7oWkwQ
No,No,Null,Lunch,Null,Null,Null,Null,Yes,Null,No,EIeU3coTP9V2qcmHhr60Yw
Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null,vwfdoACBrXFTMA066gKEcQ
