business_id,zip_code,violations,current_demerits,inspection_demerits,inspection_grade,current_score,inspection_score,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,gender_neutral_restrooms,good_for,good_for_working,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
wtcMoqKiaxkFPZj0BC9jlw,89183,7,14,13,A,95.0,95.0,4.0,54,-1,-1,0,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,1,-1,0,-1,0,0,-1,1,1,2,0,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kJ_Rke1dt9zpbJp9lX6sXw,89104,86,139,191,A,95.0,90.55555556,2.5,118,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,0,-1,1,3,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1
6bgjcFOy4WHMyw62_1V9Pw,89148,53,86,115,A,95.0,90.71428571,3.5,210,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,1,1,1,1,-1,2,-1,-1,-1,1,1,-1,0
4L3VJwVqUareUUIGPE2zcw,89103,9,20,20,B,85.0,85.0,3.5,103,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,1,-1,1,-1,0,0,-1,1,1,2,1,1,1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
aEswvENK_RJnPbcJPSvAjA,89119,32,60,69,A,95.0,94.0,4.0,98,-1,-1,2,1,-1,-1,3,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,1,1,0,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
9M0cQtHWkLNhGxPYt1qakA,89142,7,15,22,A,95.0,95.0,4.0,6,-1,-1,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BTPirhxv1swkOXzng3B-kA,89103,1,0,0,A,95.0,95.0,5.0,15,-1,-1,1,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
bpHeCdmCRFAUZqXT2TMdig,89101,17,18,45,A,95.0,95.0,3.5,59,-1,-1,1,2,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,0,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,1
ten1jIj2JOoQMrl1yCmxFg,89121,36,24,130,B,95.0,85.0,2.0,7,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,0,-1,-1,0,-1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
oUso4QWH1OAXboD8IMjpFQ,89106,23,50,58,A,95.0,93.0,4.0,13,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,0,1,1,0,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Q-dVQgyof9paXKJLwFsn3Q,89130,63,96,109,A,95.0,92.69230769,2.5,68,-1,-1,0,-1,-1,-1,-1,0,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,1,-1,-1,1,-1,0,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
Qc0l8rZ3nvrcERitgxu8XA,89102,55,92,139,B,95.0,86.78571429,4.5,1096,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,0,-1,-1,1,3,-1,-1,0,-1,1,-1,0,0,-1,0,1,2,0,1,1,-1,1,0,0,0,-1,3,-1,-1,-1,-1,1,-1,1
iWox6NQVA76eH61toMhxfA,89119,16,0,29,A,95.0,95.0,3.0,94,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,0,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
p9WVPQVhVzbBh_KEWJ21Ug,89119,32,36,79,B,95.0,80.0,3.0,4,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,0,-1,0,0,-1,0,1,1,0,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ujBk7cdEvo5FkD1e0Gzq1Q,89129,128,108,212,A,95.0,90.55555556,2.5,51,-1,-1,0,0,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,1,-1,0,0,-1,1,1,2,0,1,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
XkvvUNCmLIvOts0OftXegw,89147,38,39,86,A,95.0,94.16666667,3.5,360,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,0,-1,-1,-1,0,-1,-1,1,2,-1,0,0,-1,1,-1,0,0,-1,0,1,2,1,1,1,-1,1,0,0,0,-1,2,-1,1,-1,-1,1,-1,1
rLYDibyzkA4Dlreqf6YEQA,89121,1,1,1,A,95.0,95.0,5.0,28,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0rk2_lmbfpiYXGBFmyxx9Q,89146,113,132,274,B,95.0,89.54545455,3.5,39,-1,-1,2,0,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,0,0,-1,0,1,2,1,1,1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
B-4jb44K_qPdQUB_69gZGQ,89110,21,80,53,B,95.0,89.54545455,4.5,5,-1,-1,2,0,-1,-1,1,1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,0,-1,0,-1,-1,-1,1,1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Yn-8zix5_blucvZo3G8kPw,89183,55,114,125,A,95.0,92.85714286,3.5,200,-1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,0,-1,1,3,-1,-1,1,-1,1,-1,1,0,-1,0,1,1,0,1,1,-1,-1,1,0,0,-1,3,-1,-1,-1,-1,-1,-1,-1
THadh2gExZ0AxzcLJbJf9g,89183,55,114,125,A,95.0,92.85714286,3.5,24,-1,-1,2,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,-1,1,-1,1,0,-1,0,1,1,0,1,1,-1,1,1,0,0,-1,3,-1,-1,-1,-1,-1,-1,-1
0xtBEP5zCu1153SoqqemLw,89120,101,120,233,B,95.0,87.0,4.5,143,-1,-1,0,1,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,-1,0,0,-1,1,1,1,1,1,1,-1,1,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,1
Z411-jn51XGq7Xym7oWkwQ,89118,28,56,52,A,95.0,95.0,3.5,11,-1,-1,0,1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,-1,0,-1,-1,1,1,-1,-1,1,-1,1,-1,1,0,-1,1,1,1,0,0,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
EIeU3coTP9V2qcmHhr60Yw,89118,28,56,52,A,95.0,95.0,3.5,35,-1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,0,-1,-1,1,1,-1,-1,1,-1,0,-1,1,0,-1,1,1,1,0,0,1,-1,1,0,0,0,-1,1,-1,-1,-1,-1,1,-1,0
vwfdoACBrXFTMA066gKEcQ,89131,36,78,75,A,95.0,93.57142857,3.0,26,-1,-1,2,1,-1,-1,3,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,1,2,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
VrGI7_nRjXpn0415S3coGQ,89103,161,74,333,B,95.0,88.2,4.0,696,-1,-1,0,1,-1,-1,-1,1,0,1,0,-1,0,-1,-1,-1,0,-1,-1,1,2,-1,-1,1,-1,1,-1,0,0,-1,1,1,1,0,1,1,-1,1,0,0,0,-1,2,-1,-1,-1,1,1,-1,1
8shxmij5d2IjGLI_1riVUw,89139,34,33,75,A,95.0,93.46153846,2.0,15,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
Q91cYZDYdoUB6WeVB6U6Dg,89139,34,33,75,A,95.0,93.46153846,4.0,16,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,2,-1,-1,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
gg1Qw0HhF47DCRth8jUY0A,89139,34,33,75,A,95.0,93.46153846,3.0,34,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
rbFN_V-vzHLSX0XOLrMkIw,89139,34,33,75,A,95.0,93.46153846,4.0,25,-1,-1,-1,-1,-1,-1,-1,0,-1,1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1
