name,location_name,category_name,address,city,state,zip_code,violations,current_demerits,inspection_demerits,business_id,neighborhood,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi
Yum Yum BBQ,Yum Yum BBQ,Restaurant,430 E Silverado Ranch Blvd,Las Vegas,Nevada,89183,7,14,13,wtcMoqKiaxkFPZj0BC9jlw,Southeast,4.0,54,Null,Null,0,1,Null,Null,Null,Null,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,0,Null,0,0,Null,1,1,2,0,1,1,Null,1,0
IHOP,INTERNATIONAL HOUSE OF PANCAKES,Restaurant,2210 S Las Vegas Blvd,Las Vegas,Nevada,89104,86,139,191,kJ_Rke1dt9zpbJp9lX6sXw,The Strip,2.5,118,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,0,Null,1,3,Null,Null,0,Null,1,Null,0,0,Null,0,1,2,0,1,1,Null,1,0
Panera Bread,Panera Bread,Restaurant,5130 S Fort Apache Rd,Las Vegas,Nevada,89148,53,86,115,6bgjcFOy4WHMyw62_1V9Pw,Spring Valley,3.5,210,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,1
Shalimar Restaurant,Shalimar Restaurant,Restaurant,4001 S Decatur Blvd 31,Las Vegas,Nevada,89103,9,20,20,4L3VJwVqUareUUIGPE2zcw,,3.5,103,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,1,1,2,1,1,1,Null,1,1
Shalimar Restaurant,Shalimar Restaurant,Restaurant,4001 S Decatur Blvd,Las Vegas,Nevada,89103,67,16,148,4L3VJwVqUareUUIGPE2zcw,,3.5,103,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,1,1,2,1,1,1,Null,1,1
Rum Runner Lounge,Rum Runner,Bar / Tavern,1801 E Tropicana Ave 8,Las Vegas,Nevada,89119,32,60,69,aEswvENK_RJnPbcJPSvAjA,Eastside,4.0,98,Null,Null,2,1,Null,Null,3,1,Null,1,1,Null,Null,0,Null,Null,Null,Null,0,Null,Null,Null,1,1,1,1,Null,0,Null,Null,Null,1,1,0,Null,Null,1,1,0
Taqueria Santander,Taqueria Santander,Restaurant,5061 E Sahara Ave,Las Vegas,Nevada,89142,7,15,22,9M0cQtHWkLNhGxPYt1qakA,Sunrise,4.0,6,Null,Null,0,0,Null,Null,Null,Null,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,1,0,Null,Null,1,Null,0,Null,0,Null,Null,0,Null,Null,Null,0,1,Null,Null,Null
ZT8,ZT8,Bar / Tavern,4001 S DECATUR,Las Vegas,Nevada,89103,1,0,0,BTPirhxv1swkOXzng3B-kA,,5.0,15,Null,Null,1,0,Null,Null,Null,Null,Null,1,0,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,1,1,0,1,Null,0,Null,Null,Null,1,1,1,Null,Null,Null,1,1
El Sombrero Cafe,El Sombrero Cafe,Restaurant,807 S Main St,Las Vegas,Nevada,89101,17,18,45,bpHeCdmCRFAUZqXT2TMdig,Downtown,3.5,59,Null,Null,1,2,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,1,Null,0,0,Null,0,1,2,0,1,1,Null,1,0
Yummy House,Yummy House,Restaurant,4944 E Tropicana Ave C,Las Vegas,Nevada,89121,36,24,130,ten1jIj2JOoQMrl1yCmxFg,Eastside,2.0,7,Null,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,0,Null,0,Null,Null,0,Null,1,1,1,Null,1,1,Null,Null,Null
Molcasalsa Mexican Food,Molcasalsa Mexican Food,Restaurant,831 N Rancho Dr,Las Vegas,Nevada,89106,23,50,58,oUso4QWH1OAXboD8IMjpFQ,,4.0,13,Null,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,1,0,Null,Null,Null,Null,Null,Null,1,0,Null,0,1,1,0,0,1,Null,1,Null
Dunkin' Donuts,DUNKIN DONUTS,Restaurant,5861 W Craig Rd,Las Vegas,Nevada,89130,63,96,109,Q-dVQgyof9paXKJLwFsn3Q,Northwest,2.5,68,Null,Null,0,Null,Null,Null,Null,0,Null,1,1,0,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,0,Null,Null,0,Null,1,Null,Null,1,Null,0,1
Omelet House,Omelet House,Restaurant,2160 W Charleston Blvd,Las Vegas,Nevada,89102,55,92,139,Qc0l8rZ3nvrcERitgxu8XA,Downtown,4.5,1096,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,3,Null,Null,0,Null,1,Null,0,0,Null,0,1,2,0,1,1,Null,1,0
Spicy Pickle,Spicy Pickle,Restaurant,7271 Amigo St,Las Vegas,Nevada,89119,16,0,29,iWox6NQVA76eH61toMhxfA,Southeast,3.0,94,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,0,Null,Null,1,1,Null,Null,0,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,0
Chicago Dogs,Chicago Dogs - Napoli Plaza,Restaurant,2055 E Tropicana Ave 11,Las Vegas,Nevada,89119,32,36,79,p9WVPQVhVzbBh_KEWJ21Ug,Eastside,3.0,4,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,0,Null,0,Null,Null,Null,Null,Null,Null,1,0,Null,Null,1,Null,0,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0
Dragon Wok,Dragon Wok,Restaurant,3350 Novat St 135,Las Vegas,Nevada,89129,128,108,212,ujBk7cdEvo5FkD1e0Gzq1Q,Northwest,2.5,51,Null,Null,0,0,Null,Null,Null,1,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,1,Null,0,0,Null,1,1,2,0,1,1,Null,1,0
