name,location_name,category_name,address,city,state,zip_code,violations,current_demerits,inspection_demerits,business_id,neighborhood,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi
Dad's Grilled Cheese,Dad's Grilled Cheese,Restaurant,5255 S Decatur Blvd,Las Vegas,Nevada,89118,14,18,38,JhQvfo_WfX10TG9_7VO14g,Spring Valley,3.5,62,Null,Null,0,0,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,1,2,Null,Null,Null,Null,Null,Null,0,0,Null,1,1,1,1,1,1,Null,1,1
Samurai Sam's,Samurai Sam's,Restaurant,1910 Village Center Cir,Las Vegas,Nevada,89134,9,32,26,RAU2fPJ852Z241SXP-Wfew,Summerlin,3.0,11,Null,Null,0,0,Null,Null,Null,Null,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,Null
Holley's Cuppa,Holley's Cuppa,Restaurant,9265 S Cimarron Rd 115,Las Vegas,Nevada,89178,33,27,75,xTlmLL2xZZ0xhZ2J16zXQQ,Southwest,4.0,320,Null,Null,Null,Null,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1,Null,1,Null,Null,1,Null,1,1
Swish,SWISH,Restaurant,7875 W SAHARA,Las Vegas,Nevada,89117,66,62,148,C1jQ5CbszJkS_cyWgaRVGQ,Westside,3.5,207,Null,Null,1,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,2,1,1,1,Null,1,1
El Buen Gusto,El Buen Gusto,Restaurant,1593 N Eastern Ave,Las Vegas,Nevada,89101,67,102,188,_cBlppMDZYXS-Bjj4l9qtw,,3.0,8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Wetzel's Pretzels,Wetzels Pretzels @ LV OUTLET CENTER,Restaurant,7400 Las Vegas Blvd S,Las Vegas,Nevada,89123,1,0,0,kkiDLkFutKeJqv15yag7_w,Southeast,2.5,3,Null,Null,Null,Null,Null,Null,Null,0,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,Null,Null
Wetzel's Pretzels,Wetzels Pretzels @ LV OUTLET CENTER,Restaurant,7400 Las Vegas Blvd S,Las Vegas,Nevada,89123,1,0,0,kds044HPuEB_HzoR_EHLeQ,Southeast,3.5,9,Null,Null,Null,Null,Null,Null,Null,0,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1,Null,1,Null
Wetzel's Pretzels,LV Outlet Mall - Wetzels Pretzels,Restaurant,7400 Las Vegas Blvd S,Las Vegas,Nevada,89123,21,24,26,kkiDLkFutKeJqv15yag7_w,Southeast,2.5,3,Null,Null,Null,Null,Null,Null,Null,0,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,Null,Null
Wetzel's Pretzels,LV Outlet Mall - Wetzels Pretzels,Restaurant,7400 Las Vegas Blvd S,Las Vegas,Nevada,89123,21,24,26,kds044HPuEB_HzoR_EHLeQ,Southeast,3.5,9,Null,Null,Null,Null,Null,Null,Null,0,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1,Null,1,Null
Sofia's Pizza,SOFIA'S PIZZA,Restaurant,7365 W SAHARA,Las Vegas,Nevada,89117,26,105,70,PEGtD36MLdfcsD2hc95Kiw,Westside,2.5,82,Null,Null,0,0,Null,Null,Null,0,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,0,Null,1,0,Null,1,1,2,1,1,1,Null,Null,1
