,Alpha -> 0.01,,,Alpha -> 0.03,,,Alpha -> 0.05,,,Alpha -> 0.07,,,Alpha -> 0.1,,,Alpha -> 0.15,,
Feature,Important,p score,chi2,Important,p score,chi2,Important,p score,chi2,Important,p score,chi2,Important,p score,chi2,,,
zip_code,no,0.06527575429,187.8587923,no,0.06527575429,187.8587923,no,0.06527575429,187.8587923,yes,0.06527575429,187.8587923,yes,0.06527575429,187.8587923,yes,0.06527575429,187.8587923
violations,yes,0.0002760271775,607.6950055,yes,0.0002760271775,607.6950055,yes,0.0002760271775,607.6950055,yes,0.0002760271775,607.6950055,yes,0.0002760271775,607.6950055,yes,0.0002760271775,607.6950055
current_demerits,no,0.1575223192,605.9683544,no,0.1575223192,605.9683544,no,0.1575223192,605.9683544,no,0.1575223192,605.9683544,no,0.1575223192,605.9683544,no,0.1575223192,605.9683544
inspection_demerits,no,0.2642955592,914.1436779,no,0.2642955592,914.1436779,no,0.2642955592,914.1436779,no,0.2642955592,914.1436779,no,0.2642955592,914.1436779,no,0.2642955592,914.1436779
rating,yes,7.05E-21,162.3541199,yes,7.05E-21,162.3541199,yes,7.05E-21,162.3541199,yes,7.05E-21,162.3541199,yes,7.05E-21,162.3541199,yes,7.05E-21,162.3541199
review_count,no,0.1500426892,1009.534407,no,0.1500426892,1009.534407,no,0.1500426892,1009.534407,no,0.1500426892,1009.534407,no,0.1500426892,1009.534407,no,0.1500426892,1009.534407
alcohol,no,0.113015061,18.08899045,no,0.113015061,18.08899045,no,0.113015061,18.08899045,no,0.113015061,18.08899045,no,0.113015061,18.08899045,yes,0.113015061,18.08899045
ambience,no,0.5084520949,15.22187391,no,0.5084520949,15.22187391,no,0.5084520949,15.22187391,no,0.5084520949,15.22187391,no,0.5084520949,15.22187391,no,0.5084520949,15.22187391
byob_corkage,no,0.5321991947,10.96175405,no,0.5321991947,10.96175405,no,0.5321991947,10.96175405,no,0.5321991947,10.96175405,no,0.5321991947,10.96175405,no,0.5321991947,10.96175405
best_nights,no,0.8506846762,10.29664002,no,0.8506846762,10.29664002,no,0.8506846762,10.29664002,no,0.8506846762,10.29664002,no,0.8506846762,10.29664002,no,0.8506846762,10.29664002
bike_parking,no,0.07838761957,14.13205915,no,0.07838761957,14.13205915,no,0.07838761957,14.13205915,no,0.07838761957,14.13205915,yes,0.07838761957,14.13205915,yes,0.07838761957,14.13205915
business_accepts_bitcoin,no,0.7497722158,5.072757029,no,0.7497722158,5.072757029,no,0.7497722158,5.072757029,no,0.7497722158,5.072757029,no,0.7497722158,5.072757029,no,0.7497722158,5.072757029
business_accepts_creditcards,no,0.2224834132,10.64749541,no,0.2224834132,10.64749541,no,0.2224834132,10.64749541,no,0.2224834132,10.64749541,no,0.2224834132,10.64749541,no,0.2224834132,10.64749541
business_parking,no,0.9280766008,14.74216639,no,0.9280766008,14.74216639,no,0.9280766008,14.74216639,no,0.9280766008,14.74216639,no,0.9280766008,14.74216639,no,0.9280766008,14.74216639
caters,no,0.2419474871,10.34032125,no,0.2419474871,10.34032125,no,0.2419474871,10.34032125,no,0.2419474871,10.34032125,no,0.2419474871,10.34032125,no,0.2419474871,10.34032125
coat_check,no,0.4214274868,8.124256994,no,0.4214274868,8.124256994,no,0.4214274868,8.124256994,no,0.4214274868,8.124256994,no,0.4214274868,8.124256994,no,0.4214274868,8.124256994
corkage,no,0.4583418583,7.749227919,no,0.4583418583,7.749227919,no,0.4583418583,7.749227919,no,0.4583418583,7.749227919,no,0.4583418583,7.749227919,no,0.4583418583,7.749227919
dogs_allowed,no,0.4160412579,8.18048734,no,0.4160412579,8.18048734,no,0.4160412579,8.18048734,no,0.4160412579,8.18048734,no,0.4160412579,8.18048734,no,0.4160412579,8.18048734
drive_thru,no,0.02284014574,17.7921204,yes,0.02284014574,17.7921204,yes,0.02284014574,17.7921204,yes,0.02284014574,17.7921204,yes,0.02284014574,17.7921204,yes,0.02284014574,17.7921204
good_for_dancing,no,0.609439795,6.337886904,no,0.609439795,6.337886904,no,0.609439795,6.337886904,no,0.609439795,6.337886904,no,0.609439795,6.337886904,no,0.609439795,6.337886904
good_for_kids,no,0.03027833511,16.98378821,no,0.03027833511,16.98378821,yes,0.03027833511,16.98378821,yes,0.03027833511,16.98378821,yes,0.03027833511,16.98378821,yes,0.03027833511,16.98378821
good_for_meal,no,0.06977193562,39.73730972,no,0.06977193562,39.73730972,no,0.06977193562,39.73730972,yes,0.06977193562,39.73730972,yes,0.06977193562,39.73730972,yes,0.06977193562,39.73730972
happy_hour,no,0.6161123326,6.278093023,no,0.6161123326,6.278093023,no,0.6161123326,6.278093023,no,0.6161123326,6.278093023,no,0.6161123326,6.278093023,no,0.6161123326,6.278093023
has_tv,no,0.3303819874,9.142936155,no,0.3303819874,9.142936155,no,0.3303819874,9.142936155,no,0.3303819874,9.142936155,no,0.3303819874,9.142936155,no,0.3303819874,9.142936155
music,no,0.8451971172,7.184308058,no,0.8451971172,7.184308058,no,0.8451971172,7.184308058,no,0.8451971172,7.184308058,no,0.8451971172,7.184308058,no,0.8451971172,7.184308058
noise_level,yes,0.0003921075247,42.01843822,yes,0.0003921075247,42.01843822,yes,0.0003921075247,42.01843822,yes,0.0003921075247,42.01843822,yes,0.0003921075247,42.01843822,yes,0.0003921075247,42.01843822
open_24_hours,no,0.5541815391,6.838242929,no,0.5541815391,6.838242929,no,0.5541815391,6.838242929,no,0.5541815391,6.838242929,no,0.5541815391,6.838242929,no,0.5541815391,6.838242929
outdoor_seating,no,0.228061939,10.55736735,no,0.228061939,10.55736735,no,0.228061939,10.55736735,no,0.228061939,10.55736735,no,0.228061939,10.55736735,no,0.228061939,10.55736735
restaurants_attire,no,0.5745757754,6.652233037,no,0.5745757754,6.652233037,no,0.5745757754,6.652233037,no,0.5745757754,6.652233037,no,0.5745757754,6.652233037,no,0.5745757754,6.652233037
restaurants_delivery,no,0.3623635903,8.766632078,no,0.3623635903,8.766632078,no,0.3623635903,8.766632078,no,0.3623635903,8.766632078,no,0.3623635903,8.766632078,no,0.3623635903,8.766632078
restaurants_good_for_groups,no,0.8772475388,3.77009698,no,0.8772475388,3.77009698,no,0.8772475388,3.77009698,no,0.8772475388,3.77009698,no,0.8772475388,3.77009698,no,0.8772475388,3.77009698
restaurants_price_range2,no,0.6800796561,12.89966059,no,0.6800796561,12.89966059,no,0.6800796561,12.89966059,no,0.6800796561,12.89966059,no,0.6800796561,12.89966059,no,0.6800796561,12.89966059
restaurants_reservations,no,0.4754445074,7.580862069,no,0.4754445074,7.580862069,no,0.4754445074,7.580862069,no,0.4754445074,7.580862069,no,0.4754445074,7.580862069,no,0.4754445074,7.580862069
restaurants_table_service,yes,9.47E-05,31.960131,yes,9.47E-05,31.960131,yes,9.47E-05,31.960131,yes,9.47E-05,31.960131,yes,9.47E-05,31.960131,yes,9.47E-05,31.960131
restaurants_takeout,no,0.8463494233,4.117717008,no,0.8463494233,4.117717008,no,0.8463494233,4.117717008,no,0.8463494233,4.117717008,no,0.8463494233,4.117717008,no,0.8463494233,4.117717008
smoking,no,0.3397462973,13.41305361,no,0.3397462973,13.41305361,no,0.3397462973,13.41305361,no,0.3397462973,13.41305361,no,0.3397462973,13.41305361,no,0.3397462973,13.41305361
wheelchair_accessible,no,0.3885089295,8.474869822,no,0.3885089295,8.474869822,no,0.3885089295,8.474869822,no,0.3885089295,8.474869822,no,0.3885089295,8.474869822,no,0.3885089295,8.474869822
wifi,no,0.3796357048,8.572451208,no,0.3796357048,8.572451208,no,0.3796357048,8.572451208,no,0.3796357048,8.572451208,no,0.3796357048,8.572451208,no,0.3796357048,8.572451208
accepts_apple_pay,yes,0.0003708065427,28.61219889,yes,0.0003708065427,28.61219889,yes,0.0003708065427,28.61219889,yes,0.0003708065427,28.61219889,yes,0.0003708065427,28.61219889,yes,0.0003708065427,28.61219889
accepts_google_pay,no,0.07311751067,14.348693,no,0.07311751067,14.348693,no,0.07311751067,14.348693,no,0.07311751067,14.348693,yes,0.07311751067,14.348693,yes,0.07311751067,14.348693
good_for,no,0.5900569512,17.95979335,no,0.5900569512,17.95979335,no,0.5900569512,17.95979335,no,0.5900569512,17.95979335,no,0.5900569512,17.95979335,no,0.5900569512,17.95979335
has_pool_table,no,0.5708196904,6.68635132,no,0.5708196904,6.68635132,no,0.5708196904,6.68635132,no,0.5708196904,6.68635132,no,0.5708196904,6.68635132,no,0.5708196904,6.68635132
waiter_service,yes,0.007429251332,20.89586793,yes,0.007429251332,20.89586793,yes,0.007429251332,20.89586793,yes,0.007429251332,20.89586793,yes,0.007429251332,20.89586793,yes,0.007429251332,20.89586793
